"gene_id","gene_name","bmp4_rep1","bmp4_rep2","bmp4_rep3","bmp4_tgfb2_rep1","bmp4_tgfb2_rep2","bmp4_tgfb2_rep3","nontreated_rep1","nontreated_rep2","nontreated_rep3","tgfb2_rep1","tgfb2_rep2","tgfb2_rep3"
"ENSMUSG00000000001.4","Gnai3",8488.531,8900,8693.97,10078.33,8329.017,8323.985,8755.059,9506.446,9808.839,12264.224,7997.076,9747.166
"ENSMUSG00000000003.15","Pbsn",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028.15","Cdc45",1800,1676,1447.855,365,1054.05,1388,1783.204,1713.023,1712.832,710,1635,1537.945
"ENSMUSG00000000031.16","H19",280,1049.378,455,341,784,466.07,283,839,428,304.019,880.001,571
"ENSMUSG00000000037.17","Scml2",20,21,26,3,5,13,16,16,33,2,3,17
"ENSMUSG00000000049.11","Apoh",10,8,26,22,10,25,3,7,11,13,15,11
"ENSMUSG00000000056.7","Narf",6854.983,4259.938,4439,9270.322,6694.006,6246.46,6222.088,5257.46,4583.705,10543.3,6442,7189.214
"ENSMUSG00000000058.6","Cav2",3637,3067.509,3822.261,4230,2984,3171,3948.78,2672.499,3476.681,6122,3635,4089.08
"ENSMUSG00000000078.7","Klf6",14686.667,7625.121,9933.14,16061.792,8940,11550.181,10983.685,6228.629,7261.523,19132.728,8890,13078.201
"ENSMUSG00000000085.16","Scmh1",1450.998,875.319,1159,1205.001,1063,1335.109,1395,917.054,1245.999,2121.999,1350.48,1809.479
"ENSMUSG00000000088.7","Cox5a",3571.856,2508.905,2927.822,2996.715,2216.971,3083.95,2708.207,3224.87,3129.941,3507.98,2464.936,3087.95
"ENSMUSG00000000093.6","Tbx2",6,5,2,5,6,8,3,2,2,3,2,6
"ENSMUSG00000000094.12","Tbx4",2,0,0,1,0,1,1,3,1,2,3,1
"ENSMUSG00000000103.12","Zfy2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120.6","Ngfr",8,4,4,21,3,0,17,3,2,4,4,12
"ENSMUSG00000000125.5","Wnt3",0,0,0,3,0,0,0,0,0,0,1,0
"ENSMUSG00000000126.11","Wnt9a",334,201,274,1717,820.34,992,157,47,76,1872,793,1178.655
"ENSMUSG00000000127.15","Fer",824,841,891,660.04,731,741,975,1046,907,800,784.999,952.013
"ENSMUSG00000000131.15","Xpo6",3037,3610.703,3495.221,3421,3120.001,3246.191,3557.653,4036.323,4175.6,3704.121,3046.001,3633.724
"ENSMUSG00000000134.17","Tfe3",2086.002,1679.001,1748,2462.348,2029,1910.763,1933.554,1860.962,1856,2801,2012.001,2413.999
"ENSMUSG00000000142.15","Axin2",2424.999,2393.098,1476,1938.942,2245.99,759,1100,1286.284,1158,1267,1258,835
"ENSMUSG00000000148.17","Brat1",1003,603,694,1137.001,669,769,922,906.028,701.001,1249,652,880
"ENSMUSG00000000149.10","Gna12",3042.72,2728,2710,3198,3121.647,3787.496,3214.726,2682.111,2590.011,4588.627,3218.843,4419.304
"ENSMUSG00000000154.16","Slc22a18",147,111,161,167,49,80,159,95,166.095,214,158,152
"ENSMUSG00000000157.16","Itgb2l",0,1,1,0,0,0,3,0,0,0,5,2
"ENSMUSG00000000159.16","Igsf5",817,553,428,643,554,401.999,898.558,680.579,521,740,548.156,417.737
"ENSMUSG00000000167.14","Pih1d2",119,43.627,39,73,23,35,48.142,50,32,66.153,53,23
"ENSMUSG00000000168.9","Dlat",2945,2448,2407.003,3176.699,2089,2577,3596.749,3091,3123.977,3539.695,2062.032,2876
"ENSMUSG00000000171.5","Sdhd",3535,2760,3067.242,2956,2053,2704,3287.86,3508.09,3335.428,3359,2672.623,3105
"ENSMUSG00000000182.9","Fgf23",0,0,0,2,0,0,0,0,1,0,0,0
"ENSMUSG00000000183.6","Fgf6",0,3,0,0,0,1,0,0,0,1,0,0
"ENSMUSG00000000184.12","Ccnd2",27,72,54,30,38.897,42,28,54,36,30,54.565,36
"ENSMUSG00000000194.13","Gpr107",3856,2926.795,2635.31,3650.366,3027,2581,3568,2732.076,2423,4037.02,2825.029,3239.497
"ENSMUSG00000000197.8","Nalcn",12,11,16,35,14,23,10,3,10,63,21,30
"ENSMUSG00000000202.9","Btbd17",0,8,4,4,4,2,0,5,1,0,11,10
"ENSMUSG00000000204.16","Slfn4",5.001,0,0,0,0,0,1,1,2,0,3,0
"ENSMUSG00000000214.11","Th",1,3,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215.11","Ins2",0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000000216.8","Scnn1g",46,9,2,2,1,2,14,11,11,4,2,0
"ENSMUSG00000000223.13","Drp2",9,43,30,10,41,24,29,48,46,27,43,42
"ENSMUSG00000000244.17","Tspan32",2,4,0,1,1,5,3,2,8,2,11,6.001
"ENSMUSG00000000247.11","Lhx2",23,2,6,0,0,14,0,0,0,0,2,8
"ENSMUSG00000000248.16","Clec2g",0,0,0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000000253.13","Gmpr",29,26,52,32,39,76,23,18,44,42,46,85
"ENSMUSG00000000263.15","Glra1",0,0,0,0,1,1,0,0,0,0,0,0
"ENSMUSG00000000266.11","Mid2",2760.013,2683,2233.166,1905,1917.309,1808,3710.002,2481.542,2586,2059.485,1955.998,1941.957
"ENSMUSG00000000275.16","Trim25",3969,3281,3622.252,2230,1913,2065.318,8486.632,5595.06,4905.005,3102.013,2184,2905.449
"ENSMUSG00000000276.11","Dgke",511,384,370,431,351,273,599,566,498.001,554,328,456.011
"ENSMUSG00000000278.10","Scpep1",2655.362,1118.004,1382,2209.005,969,1365,2280,942,1123,2864.227,1489,1677
"ENSMUSG00000000282.12","Mnt",1807,1158,1095,2765,1494.005,1498,1834.016,1117,1007,2728.702,1439,1865
"ENSMUSG00000000290.13","Itgb2",6,3,4,37,11,13,32,11,6,54,25,63
"ENSMUSG00000000295.13","Hddc2",554,514,641,471,357,527,579,1020,816,643,493,465
"ENSMUSG00000000296.8","Tpd52l1",1582.546,1030.294,900,488,364,641.001,2962.793,2163.063,1410.909,1014.001,614.994,786.999
"ENSMUSG00000000301.16","Pemt",98.999,51.001,82,92,48.809,51,80,106,78,120.006,54,70
"ENSMUSG00000000303.12","Cdh1",20707.236,18745.534,18684.727,15210.366,12763.2,12426.997,22643.789,20934.025,20575.674,19827.035,15983.12,17618.55
"ENSMUSG00000000305.12","Cdh4",5,9,3,3,2,11,0,1,3.999,1,2,10
"ENSMUSG00000000308.14","Ckmt1",3306.193,1350.205,704,227.342,175,149,4293.018,3215.988,2109,220,190,228
"ENSMUSG00000000317.11","Bcl6b",1,2,2,4,1,2,2,4,3,2,3,2
"ENSMUSG00000000318.16","Clec10a",0,0,2,11,1,1,0,0,0,0,0,1
"ENSMUSG00000000320.10","Alox12",7,2,5,17,5,14,0,10,2,19,1,10
"ENSMUSG00000000325.16","Arvcf",575.328,555.253,696.199,850.031,730.156,787.811,491.553,452.43,469.885,920.159,703.654,900.951
"ENSMUSG00000000326.13","Comt",4696.672,3493.815,3980.277,5079.882,3487.738,3894.274,4540.726,4359.666,3911.908,5562.367,3726.883,4168.563
"ENSMUSG00000000339.14","Rtca",1776,1657,1535.058,1575,1343,1500,1548,1731.543,1665.055,1837.401,1300,1636.387
"ENSMUSG00000000340.10","Dbt",938.078,651,676,659,524,626,1626.907,1319,1095.989,875,665.263,819.014
"ENSMUSG00000000346.9","Dazap2",8193.175,5913.997,5564.132,7546.093,5702.927,5133.867,7186.078,6256.933,5460.668,8129.691,5797.835,5233.045
"ENSMUSG00000000355.13","Mcts1",902.523,510,616,619,467,547,624.205,716,654.104,662,646.001,650
"ENSMUSG00000000359.3","Rem1",5,2,3,0,3,3,0,3,1,1,3,2
"ENSMUSG00000000365.9","Rnf17",0,0,0,5,0,0,0,0,0,0,0,0
"ENSMUSG00000000374.8","Trappc10",2502.914,2393.321,2011,2707.837,2271.001,1815,3209.225,2662.039,2595.01,2896.001,2246,2146
"ENSMUSG00000000378.15","Ccm2",1432,1340,1465.052,1669,1157.015,1606,1473,1838,1632.911,2038.402,1395,2018
"ENSMUSG00000000381.10","Wap",0,0,0,0,0,0,1,18,8,0,0,0
"ENSMUSG00000000384.15","Tbrg4",1929.017,1536.919,1471.001,1562.999,1123,1300.186,1873.002,2407.23,2185.157,1832.999,1111.991,1552.462
"ENSMUSG00000000385.8","Tmprss2",2231,1420.999,1214.999,1106.994,613.001,447,2791.999,2361.261,2408.135,1107,719.001,554
"ENSMUSG00000000386.16","Mx1",5,10,5,3.587,11,3,28.244,23,20,7,0,8
"ENSMUSG00000000392.17","Fap",2,2,0,0,0,5,1,1,2,0,1,2
"ENSMUSG00000000394.15","Gcg",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000399.10","Ndufa9",3154.372,2518.809,2779.038,3367.001,2300.107,2208.306,2989.216,3549.246,3066.274,3466.039,2575.001,2678
"ENSMUSG00000000402.2","Egfl6",0,0,0,0,0,1,0,1,0,10,0,0
"ENSMUSG00000000409.14","Lck",1,19,7,11,3,10,10,12,5,26,4,15
"ENSMUSG00000000411.7","Tssk3",0,0,0,0,0,0,1,1,0,1,0,0
"ENSMUSG00000000416.16","Cttnbp2",1,3,3,3,3,3,6,0,3,5,7,24
"ENSMUSG00000000420.15","Galnt1",3743,4261.001,4096.491,4427.114,4474.999,5608.158,4397.162,4869.268,4632.001,5867.404,5063.999,6722.881
"ENSMUSG00000000435.1","Myf5",2,7,1,2,6,5,3,8,2,6,6,6
"ENSMUSG00000000439.9","Mkrn2",869.544,648.43,609.831,921.194,652.958,692.675,946.084,869.954,746.672,1299.487,635.315,687.548
"ENSMUSG00000000440.12","Pparg",7,4,9,9,6,9,5,4,12,8,5,11
"ENSMUSG00000000441.17","Raf1",3685.612,2745.713,2625.204,3847.93,2700.908,2565.655,3455.175,3232.936,2882.106,4304.649,2955.252,3119.488
"ENSMUSG00000000486.13","Septin1",67,38,57,63,93,60,30,24,26,91.999,101,67
"ENSMUSG00000000489.7","Pdgfb",2606.001,2707,5924,16388.017,13226.955,17788.136,630,496,1039.123,19520.783,11574.166,20072.039
"ENSMUSG00000000530.16","Acvrl1",76,38,66,66.001,76,88,64,36,39.001,160,97,122
"ENSMUSG00000000531.5","Grasp",60,82,73.001,84,55,97,80,83,90,122,53,102
"ENSMUSG00000000532.11","Acvr1b",1385,970.055,736,1166,783,667.058,1725,1116.263,930.015,1463,857.453,916
"ENSMUSG00000000538.18","Tom1l2",3609.094,2365,1976.963,2068,1902,1764,3387.394,2063,1969.288,2385,1910,2109
"ENSMUSG00000000544.14","Gpa33",503,457,364,1085,948,575,494,324,221,1592,1195,601
"ENSMUSG00000000552.10","Zfp385a",2007,1752,1534,2394.041,1850,1615,964.406,570,784.137,2247,1741,1842
"ENSMUSG00000000555.8","Itga5",902.028,634,1071,1863,1630,5276.802,775,678.678,609,2289,1228,5299.389
"ENSMUSG00000000560.9","Gabra2",1,1,0,3,0,0,0,0,0,0,0,0
"ENSMUSG00000000561.14","Wdr77",2528.111,2494.435,2460.051,2571.456,1690.637,2145.747,2903.97,3489.715,3603.247,3136.033,1799.445,2434.452
"ENSMUSG00000000562.5","Adora3",0,4,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000563.17","Atp5pb",8731.475,6977.241,6964.749,6521.287,5032.416,5743.441,8533.703,9807.758,8267.089,7609.687,5891.088,6229.025
"ENSMUSG00000000567.5","Sox9",15871.228,9186.506,8170.021,9637.211,7128.658,7703.025,17892.822,11614.091,8937.469,12454.799,6681.373,9274.434
"ENSMUSG00000000568.15","Hnrnpd",3590.729,5578.61,5537.236,3310.519,3424.816,4659.761,3632.177,7478.919,8380.377,4478.69,3649.374,6131.687
"ENSMUSG00000000579.14","Dynlt1c",138.104,86.784,145.509,118.167,99.806,61.487,125.543,145.763,78.248,122.292,78.905,118.888
"ENSMUSG00000000581.8","C1d",1380,1149,1229,1378.788,1061,921.001,1181,1287,1244.001,1566.999,1070,1198.862
"ENSMUSG00000000594.7","Gm2a",2182.216,1668.938,1222.007,886,907,713,1726.049,1291.007,1163,1224.991,1130,855
"ENSMUSG00000000600.15","Krit1",1008,655.999,760,1040,817,837.999,1185.001,766,688,1180.816,820,954.999
"ENSMUSG00000000605.9","Clcn4",3085.495,2302.023,2212.001,4183,2963,2287.083,2818.999,2767.986,2476.999,4592.266,2937.999,2802.025
"ENSMUSG00000000606.18","Vmn2r88",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617.14","Grm6",0,0,0,0,0,0,1,1,0,0,0,0
"ENSMUSG00000000627.15","Sema4f",746,743,1576,1867,1501.972,2447.436,321,171,295,1578.19,852,1884
"ENSMUSG00000000628.10","Hk2",3483.115,2399.959,2288,6115.974,3495.471,3759.96,5350.391,4453.675,3766,7329.455,3189.86,4488.975
"ENSMUSG00000000631.20","Myo18a",7326.998,6694.001,6425.152,5393.169,4720,4910.6,10628.244,9265.185,7618.801,5507.999,4020.999,5898.437
"ENSMUSG00000000632.13","Sez6",8,1,0,1,3,0,0,0,0,0,8,5
"ENSMUSG00000000673.9","Haao",0,1,0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000000682.7","Cd52",12,0,1,1,0,2,3,6,0,2,1,1
"ENSMUSG00000000686.11","Abhd15",28,31,11.762,25,11,24,16,53,37.617,15,19,47
"ENSMUSG00000000690.5","Hoxb6",0,0,0,1,0,1,1,1,6,0,0,3
"ENSMUSG00000000693.10","Loxl3",75.955,47.043,44.01,11.133,8.141,26.633,18.353,21.336,44.709,14.207,33.436,74.209
"ENSMUSG00000000701.8","Tcl1b5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706.16","Btn1a1",2941,1001,468,1195.002,513,395,4321.117,750,569,1318,485.999,544
"ENSMUSG00000000708.14","Kat2b",2166.018,2097.859,1590.882,790,965.785,908,2303,2128.324,1759.927,893.169,995.98,1016.999
"ENSMUSG00000000711.3","Rab5b",4342,3314.275,2785.72,4854.933,3510,3071.179,3757.089,2902,2373,5405.346,3564.064,3347.185
"ENSMUSG00000000724.10","Cryba1",0,0,0,0,0,0,0,0,0,2,0,1
"ENSMUSG00000000730.13","Dnmt3l",0,0,0,1,8,2,0,0,0,6,0,0
"ENSMUSG00000000731.15","Aire",0,0,0,0,8,0,0,0,0,0,0,1
"ENSMUSG00000000732.9","Icosl",51,51,28,27,22,19,141,115,89.999,36,25,54
"ENSMUSG00000000738.18","Spg7",2411.37,1746.928,1862,2474.898,1888.001,1909.001,2011,1540,1719.998,2946,2003.855,2117.999
"ENSMUSG00000000739.14","Sult5a1",3,0,0,1,0,1,0,0,0,0,0,1
"ENSMUSG00000000740.12","Rpl13",21798.131,14811.027,20946.75,20330.83,11683.326,19210.521,19801.36,22453.506,21380.856,24913.898,14167.015,19450.566
"ENSMUSG00000000743.9","Chmp1a",6076.074,4396.179,4069.57,6649.114,4202.004,4382.275,4368.369,4391,4175,7484.194,4800.334,4950.916
"ENSMUSG00000000751.13","Rpa1",5391.465,5159.056,5536.975,2512,3218,4081.081,5773.912,6604.68,6218.955,3099.109,4297.848,4773
"ENSMUSG00000000753.15","Serpinf1",15,15,38,17,9,31.999,19,6,32,27,28,47
"ENSMUSG00000000759.14","Tubgcp3",1354,1349,1507.228,1583,1184,1445.001,1472.455,1597.067,1647,1722,1268.001,1632.992
"ENSMUSG00000000766.18","Oprm1",0,3,1,1,0,0,0,0,0,6,0,2
"ENSMUSG00000000776.13","Polr3d",713,618,684.999,937,526,753.999,790,941,812.999,1004,559,977
"ENSMUSG00000000782.16","Tcf7",490,729,680,447,470,571,686,879.22,766,640,536,837
"ENSMUSG00000000787.12","Ddx3x",19404.307,19298.553,18087.971,16758.246,14382.655,14926.431,20837.504,23316.797,23331.482,21086.272,13742.719,17593.19
"ENSMUSG00000000791.9","Il12rb1",0,1,8,4,6,2,0,0,0,1,0,5
"ENSMUSG00000000792.2","Slc5a5",233,84,75,69,33,13,12,16,53,106,58,33
"ENSMUSG00000000794.9","Kcnn3",0,9,6,1,7,12,2,7,1,7,1,7
"ENSMUSG00000000804.14","Usp32",1859.035,1432.999,1398,1822.999,1542,1389,2206,1483.039,1550,2309,1381.999,1657
"ENSMUSG00000000805.18","Car4",0,2,3,4,1,1,0,3,2,2,4,4
"ENSMUSG00000000811.13","Txnrd3",152,84,98,280,129,169,176,150,136,280,118,137
"ENSMUSG00000000817.10","Fasl",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000823.16","Zfp512b",780.999,487,298.002,468,312.999,387.052,1083.334,823,692.001,565,398,453.999
"ENSMUSG00000000826.16","Dnajc5",7644.324,6030.171,5590.276,8062.001,5535.312,5316,7770.321,6027,5583.999,9128.679,5561,6203.001
"ENSMUSG00000000827.18","Tpd52l2",4327.818,2735.998,2608.661,4278,2543.001,2562,3109.598,2238,2074,4565,2532.998,2684
"ENSMUSG00000000838.17","Fmr1",1658.001,1919.081,2049.016,1181.999,1242.291,1401.959,2485,2690.051,2775.001,1491.001,1165.012,1745.996
"ENSMUSG00000000861.15","Bcl11a",8,2,0,1,2,3,1,4,0,1,11,2
"ENSMUSG00000000869.12","Il4",5,0,1,0,1,0,9,2,1,4,0,0
"ENSMUSG00000000876.11","Pxmp4",870,610,475,431,449,322,804.159,848.144,575.005,399,631,501
"ENSMUSG00000000881.12","Dlg3",1963.007,1728.001,1396,1391,1151.001,1094.001,2040.446,1934.841,1659.005,1442.001,1342,1470
"ENSMUSG00000000884.17","Gnb1l",279.51,183.222,261.484,297.523,239.226,303.48,226.816,335.879,291.534,315.657,256.478,390.965
"ENSMUSG00000000889.8","Dbh",0,0,0,0,0,1,0,0,0,7,0,0
"ENSMUSG00000000901.17","Mmp11",1442.122,912.999,1154,1938.158,1755.001,1204.001,304,153,233,1467,1244.015,1086.999
"ENSMUSG00000000902.13","Smarcb1",2983,2126,2194.709,2647.999,1920.999,2026.97,2391.101,2604.396,2177,2809.001,2024.001,2257
"ENSMUSG00000000903.3","Vpreb3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000915.15","Hip1r",3704.351,2764.152,2901.112,2720.138,2538.842,2690.863,2770.217,2474.797,2301.207,2621.764,2146.824,2779.41
"ENSMUSG00000000916.15","Nsun5",459.089,510.27,438.1,560.702,318.79,445.078,469.669,749.047,706.624,627.863,418.829,629.086
"ENSMUSG00000000934.9","Top1mt",352,273,176,439,253,238,394,462,322.195,512,300,297
"ENSMUSG00000000938.11","Hoxa10",0,1,1,0,2,0,1,2,1,1,0,3
"ENSMUSG00000000942.10","Hoxa4",0,0,1,0,0,1,2,0,1,0,1,4
"ENSMUSG00000000948.16","Gm38393",7,22.383,10,3,1,4.513,16,25.143,16,19,9,13.105
"ENSMUSG00000000957.11","Mmp14",13557.542,10567,9613.525,9115.531,8542,9159.352,12792.601,9049.493,7659.061,11189.984,7605.346,10461.922
"ENSMUSG00000000958.10","Slc7a7",1255.012,1422.973,1281.319,1412.298,1397.668,1256.643,1546.304,1624.275,1239.337,1940.537,1581.312,1638.935
"ENSMUSG00000000959.7","Oxa1l",1997.988,1794.027,1500.681,1744.702,1316.29,1570.357,2400.247,2560.528,2134.861,2249.705,1570.689,1826.063
"ENSMUSG00000000976.13","Heatr6",1455,1350,1296.975,1367.009,1300,1247,1592,1802.996,1540.944,1785,1266,1471
"ENSMUSG00000000982.5","Ccl3",0,0,0,0,1,0,1,0,0,2,0,0
"ENSMUSG00000000983.13","Wfdc18",4378.218,2216.415,1149,296,180,170.216,4831.506,7603.385,5646.089,400,445,234.582
"ENSMUSG00000001014.6","Icam4",13.515,4,12.012,1,0,13,6,3,5,6.823,8,5.655
"ENSMUSG00000001016.12","Ilf2",3672.094,3527.725,3803.121,3217.707,2591.664,3145.275,3330.274,3862.337,3702.799,3860.538,2972.282,3583.841
"ENSMUSG00000001017.15","Chtop",7482.001,4737.79,4779.229,6917.555,4169.001,4321.92,6976.481,5464.001,5224.542,7785.963,4463.001,4762.132
"ENSMUSG00000001018.15","Snapin",1543.906,904.274,1000.88,1516.897,1073.542,1055.726,1150.385,827.883,768.651,1900.469,1158.725,1132.719
"ENSMUSG00000001020.8","S100a4",228,454,758.047,96.293,129,286.669,122,333.58,448.527,87.287,184.228,342.702
"ENSMUSG00000001021.13","S100a3",181,146,229.78,126.809,124,133.797,92,100.768,124.722,122.978,124.656,196.477
"ENSMUSG00000001023.10","S100a5",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001025.8","S100a6",33018.295,24297.226,32030.95,24003.573,17330.975,23039.652,10953.916,15220.695,17513.579,24299.719,19384.255,22274.584
"ENSMUSG00000001027.7","Scn4a",3,5,3,14,4,3,2,6,10,3,10,8
"ENSMUSG00000001029.15","Icam2",5,8,5,4,6,2,2,7,3,2,1,8
"ENSMUSG00000001034.17","Mapk7",1499.999,1105.696,982,1530.001,1081.123,1099,1636.38,1407.999,1176.001,1838.322,1036,1394.827
"ENSMUSG00000001036.17","Epn2",3598,3108,3513.001,5900.822,4529,5797,5929.492,5481.809,4540.413,9841.034,6470.025,8800.201
"ENSMUSG00000001039.12","B9d1",1315,795,749,1064,799.001,596,605.001,704.882,615,958,904,517
"ENSMUSG00000001052.15","Sec24b",2331.023,2859,2939.001,2121,2568,2608,2787,3305.134,3183.001,2741,2196.001,2859.725
"ENSMUSG00000001053.15","N4bp3",3934,2979.573,2068.366,1729,1423,1190.001,2352.509,2577.5,2337.283,1474.999,1392,1339
"ENSMUSG00000001054.9","Rmnd5b",2874,1563,1394,2478.999,1880,1453.905,2351.819,2020.518,1722.416,2757.074,1759,1683
"ENSMUSG00000001056.3","Nhp2",4619,4457.065,3965,3153,2222,2860.577,3762.629,6116.178,4711.707,3474,2384,3190.579
"ENSMUSG00000001062.18","Vps9d1",424,251.999,247,419.999,258,270.001,395.025,311,341.999,379,226.001,327
"ENSMUSG00000001065.15","Zfp276",473.152,339.449,361.291,457.637,313.825,350.677,525.241,445.162,434.544,512.512,304.963,381.061
"ENSMUSG00000001076.7","C1ql4",3,0,0,3,0,0,2,0,0,1,2,0
"ENSMUSG00000001082.12","Mfsd10",2399,2116.071,1753.999,2030.16,1342,1337.999,2144.001,2590.723,2445.76,2701.001,1710.001,1685
"ENSMUSG00000001089.14","Luzp1",2424,2511.057,2931,2796.043,3022,3446,2984.153,2579.646,2849.576,3256.029,2665,3947.434
"ENSMUSG00000001095.5","Slc13a2",8,0,1,13,23,12,18,9,9,30,53,50.003
"ENSMUSG00000001098.15","Kctd10",6638.059,4969.352,5198.798,8812.812,6091.961,6071.338,4963.172,4362.489,4043.078,9181.187,5441.324,6379.41
"ENSMUSG00000001100.10","Poldip2",2964.097,2180,2226,2891.006,1984.158,2037,3036.607,3028.054,2508.003,3293,2060.001,2198
"ENSMUSG00000001103.7","Sebox",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001105.15","Ift20",1286.999,1006,1017.06,1544.413,1031,1125,1130,1284.001,1026.922,1557,1029,1203.999
"ENSMUSG00000001119.7","Col6a1",12660.032,9575.399,3937.999,939,2060.041,908,305,197,336,242,493,430
"ENSMUSG00000001120.15","Pcbp3",63.999,41,48,28,40,26,21,13,9,68,53,59
"ENSMUSG00000001123.15","Lgals9",2785,1400,1909.056,1117.291,935.047,918,6603.991,5323.47,3324,1858.439,1674,1681.449
"ENSMUSG00000001127.12","Araf",2521.602,2409.001,2184.999,2093,1951.999,1761,2536.843,2864.106,2303.817,2255,2463.006,2087.149
"ENSMUSG00000001128.7","Cfp",6,27,20,19,1,12,23,17,21,7,15,15
"ENSMUSG00000001131.11","Timp1",1706,3619,4276.926,2270,4073.156,5435.704,632,1314.867,1529,3101.896,5233.545,5702.932
"ENSMUSG00000001134.9","Uxt",445.848,336.146,259,451.636,239.614,285.302,340.866,410.303,311.501,437.171,350,368.09
"ENSMUSG00000001138.13","Cnnm3",737,766,726.001,1346.215,1126,1187,688.001,698.009,689.001,1483.01,1087,1558.001
"ENSMUSG00000001143.13","Lman2l",1597,1334,1274.999,1789.001,1737.001,1657,1688.002,1346.001,1255.089,2121.629,1895.416,1930.007
"ENSMUSG00000001150.7","Mcm3ap",2115.895,1882.804,1860.851,1779.136,1617.629,1522.388,2160.543,2322.599,2066.312,1948.203,1447.295,1817.271
"ENSMUSG00000001151.10","Pcnt",1326.001,1472.237,1533.01,751.114,1140,1199,2137.043,2009.139,1842,692,896.993,1449
"ENSMUSG00000001155.13","Ftcd",0,0,0,0,1,1,1,0,1,0,0,0
"ENSMUSG00000001156.9","Mxd1",2349.246,1113,866,995,676,449,1362.004,694,906,1142,629,551
"ENSMUSG00000001157.13","Gmcl1",1173,1025,976.006,1416,1132,1035.745,1352.336,1064.312,1008,1479,1151,1251
"ENSMUSG00000001158.13","Snrnp27",1143,718,924.256,1324,694,870,940.996,869.995,841.553,1427.969,844,900
"ENSMUSG00000001166.17","Oas1c",103,94,113,78,47,75,157.983,147,124,78,84,93
"ENSMUSG00000001168.16","Oas1h",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001173.15","Ocrl",894,829,836.999,793,700.003,816,1119,950,969,1020,778,896
"ENSMUSG00000001175.16","Calm1",11159.14,12697.123,15759.914,17969.899,13054.394,19615.906,11013.397,18959.145,18298.189,22928.761,15351.961,22136.956
"ENSMUSG00000001211.15","Agpat3",3395.131,3706,3613.043,3876.405,3240,3622.001,4425,4728,4268.789,4840.999,3955.002,4394
"ENSMUSG00000001225.12","Slc26a3",2,0,0,2,0,0,0,1,0,0,0,0
"ENSMUSG00000001227.12","Sema6b",25,42,42,28,88,69,3,17,30,42,190,109
"ENSMUSG00000001228.14","Uhrf1",5089.879,6880.001,6489.6,714,2403,3558.553,6478.799,9802.291,8911.439,1624.917,3958,5050.682
"ENSMUSG00000001229.9","Dpp9",2725,2209,2254.703,2350.001,1981,2474,2748,2951.623,2736.556,2827.494,2074.842,2948
"ENSMUSG00000001240.13","Ramp2",9.765,10,16.338,6,7,9.595,23.827,13,16.738,12,16.843,11
"ENSMUSG00000001247.16","Lsr",9025.573,8300.351,7533.756,8853.5,7609.398,6952.259,5889.8,8206.759,7234.53,9053.235,7454.186,7375.684
"ENSMUSG00000001248.15","Gramd1a",1134,884,729.001,1527.988,1065.976,1318.976,861.778,719.301,589.988,1656.843,1239.998,1476.969
"ENSMUSG00000001249.14","Hpn",518.342,380.999,215.999,159.019,150,105,934,682.972,268.997,333,315,133
"ENSMUSG00000001260.10","Gabrg1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001270.9","Ckb",44.689,77.453,97.319,78.633,82,163.805,27.5,67.327,48.199,87.98,113.982,218.62
"ENSMUSG00000001280.13","Sp1",3532.668,3470.002,3136.999,3541,3273,2834,4166.018,3778.125,3946.999,4196.481,3139,3591
"ENSMUSG00000001281.10","Itgb7",19,19,16,25,9,6,3,4,13,16,2,10
"ENSMUSG00000001285.12","Myg1",1724.337,1043.613,1240.969,1248.411,822.197,1118.113,1648.748,1439.73,1329.628,1487.658,1066.287,1154.514
"ENSMUSG00000001288.15","Rarg",5082,3561.444,3900.908,4033,2841.739,2997.914,3844.106,3085,3343.999,4288.183,2948,3608.362
"ENSMUSG00000001289.12","Pfdn5",3788.945,2231.106,2284.993,3373.588,2109.648,2790.595,2582.299,2363.836,1791.759,4163.175,2700.336,2652.099
"ENSMUSG00000001300.16","Efnb2",8424.958,7924.042,6766.934,4206.051,4479,4624.001,4750.13,3000.324,3940.094,3737,3029.791,4549
"ENSMUSG00000001305.5","Rrp15",715,771,906,803.041,508,715,779,1509,1374,1087,682,894
"ENSMUSG00000001313.12","Rnd2",546.715,377.011,208.624,380.593,217.074,196.334,312.754,412.997,282.611,660.131,322.908,227.221
