"gene_id","gene_name","bmp4_rep1","bmp4_rep2","bmp4_rep3","bmp4_tgfb2_rep1","bmp4_tgfb2_rep2","bmp4_tgfb2_rep3","nontreated_rep1","nontreated_rep2","nontreated_rep3","tgfb2_rep1","tgfb2_rep2","tgfb2_rep3"
"ENSMUSG00000115964.1","Gm6979",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115965.1","Gm30564",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115968.1","Gm38619",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115969.1","Gm46519",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115970.1","8430426J06Rik",3,1,5,0,1,0,0,0,0,0,0,0
"ENSMUSG00000115971.1","Gm10856",0,0,5,0,0,1,0,0,0,0,0,0
"ENSMUSG00000115973.1","Gm36002",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115975.1","Gm49526",0,0,0,0,3,4,0,3,2,0,5,0
"ENSMUSG00000115976.1","Gm31462",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000115979.1","Gm49410",0,0,0,0,0,1.006,6,0,0,1.004,0,1
"ENSMUSG00000115980.1","Gm49437",4,0,0,0,0,0,1,0,0,0,2,0
"ENSMUSG00000115983.1","Gm5476",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115985.1","Gm18531",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115986.1","Gm49439",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115987.1","Vps28",3706.985,2095,2143.579,2496.799,1750.001,1652.001,2917,2803.729,2343.33,2877,2093.013,1911.999
"ENSMUSG00000115988.1","Gm49441",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115989.1","Gm49533",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115992.1","Gm10832",0,0,0,4,0,1,0,0,0,0,0,0
"ENSMUSG00000115993.1","Zfp42-ps1",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000115996.1","Gm49462",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115997.1","Gm49404",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116000.1","Gm49497",0,0,0,0,0,1,0,0,0,1,0,0
"ENSMUSG00000116004.1","Gm49539",0,3,1,3,7,0,4,5,2,7,2,11
"ENSMUSG00000116007.1","Gm4116",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116008.1","Gm49440",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116009.1","Gm49503",23,11,6,0,5,0,15,4,3,1,3,11
"ENSMUSG00000116010.1","Gm36026",11.089,12.004,7.305,24.01,22.001,27.009,7.001,29.007,17.004,10.764,15.009,51.03
"ENSMUSG00000116011.1","Gm49501",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116013.1","C87114",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116016.1","Gm49496",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116017.1","Gm18154",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116021.1","Gm49474",0,0,0,0,1,0,0,2,0,0,0,0
"ENSMUSG00000116024.1","Gm49527",5.104,0,3.017,18.792,2.126,37.746,0,0,0,78.131,3.523,28.705
"ENSMUSG00000116025.1","Gm49517",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116029.1","Gm41414",0,0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000116030.1","Gm49500",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116031.1","D030024E09Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116033.1","Gm49442",13,9.792,3.085,0,1,9.044,5.759,0,2.277,0,0,14.732
"ENSMUSG00000116038.1","Gm46563",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116039.1","Gm49483",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116040.1","Gm49464",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116041.1","Gm20369",0,0,0,0,0,0,0,0,0,0,0,1.001
"ENSMUSG00000116044.1","Gm49487",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116048.1","Septin2",8755.178,8078.658,9452.306,10436.342,8988.211,9447.256,9664.377,9317.599,9012.479,13032.791,9095.933,10663.697
"ENSMUSG00000116056.1","Gm4544",86,101,66,32,18,21,459,667,367,43,79,52
"ENSMUSG00000116057.1","Vmn1r216",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116058.1","Gm8843",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116061.1","Gm49472",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116066.1","Gm49477",0,3,0,2,0,0,0,0,1,1,2,2
"ENSMUSG00000116068.1","Gm49457",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116069.1","Gm49510",0,0,0,0,9.791,0,2.123,0,0,0,45.049,0
"ENSMUSG00000116071.1","Gm49433",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116072.1","Gm46526",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116074.1","Gm49491",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116075.1","Gm49476",0,0,0,0,0,0,0,1.207,2.664,10.941,0,0
